YEARMODA,TEMP,MAX,MIN,DIFF,TempCelsius,TempKelvins
20160601,65.5,73.6,54.7,18.9,18.6,291.8
20160602,65.8,80.8,55.0,25.8,18.8,291.9
20160603,68.4,,55.6,,20.2,293.4
20160604,57.5,70.9,47.3,23.6,14.2,287.3
20160605,51.4,58.3,43.2,15.1,10.8,283.9
20160606,52.2,59.7,42.8,16.9,11.2,284.4
20160607,56.9,65.1,45.9,19.2,13.8,287.0
20160608,54.2,,47.5,,12.3,285.5
20160609,49.4,54.1,45.7,8.4,9.7,282.8
20160610,49.5,55.9,43.0,12.9,9.7,282.9
20160611,54.0,62.1,41.7,20.4,12.2,285.4
20160612,55.4,64.2,46.0,18.2,13.0,286.1
20160613,58.3,68.2,47.3,20.9,14.6,287.8
20160614,59.7,67.8,47.8,20.0,15.4,288.5
20160615,63.4,70.3,49.3,21.0,17.4,290.6
20160616,57.8,67.5,55.6,11.9,14.3,287.5
20160617,60.4,70.7,55.9,14.8,15.8,288.9
20160618,57.3,,54.0,,14.1,287.2
20160619,56.3,59.2,54.1,5.1,13.5,286.6
20160620,59.3,69.1,52.2,16.9,15.2,288.3
20160621,62.6,71.4,50.4,21.0,17.0,290.1
20160622,61.7,70.2,55.4,14.8,16.5,289.6
20160623,60.9,67.1,54.9,12.2,16.1,289.2
20160624,61.1,68.9,56.7,12.2,16.2,289.3
20160625,65.7,75.4,57.9,17.5,18.7,291.9
20160626,69.6,77.7,60.3,17.4,20.9,294.0
20160627,60.7,70.0,,,15.9,289.1
20160628,65.4,73.0,55.8,17.2,18.6,291.7
20160629,65.8,73.2,,,18.8,291.9
20160630,65.7,72.7,59.2,13.5,18.7,291.9
